Product Name,Price,Ingredients
"La tisane du gouter (Chocolat, noisette)","22,60 € ht",No details
"Infusion fruitée Upmango  (Mangue, Agrumes) en vrac","27,90 € ht",No details
Infusion fruitée balade en forêt BIO en vrac,"26,35 € ht",No details
Tisane de la méditation BIO en vrac,"23,75 € ht",No details
"Tisane Détox la délicieuse (citron, vanille) BIO en vrac","23,20 € ht",No details
"Infusion fruitée Fruity passion (orange, fruit de la Passion) BIO en vrac","24,25 € ht",No details
Tisane ayurvédique Sérénité BIO en vrac,"28,25 € ht",No details
Tisane Mix du soir BIO en vrac,"22,70 € ht",No details
Tisane cure de jouvence BIO en vrac,"26,90 € ht",No details
Tisane fraîcheur du sud BIO en vrac,"26,90 € ht",No details
"Tisane zelda (Agrumes, baies sauvages) BIO en vrac","28,25 € ht",No details
Infusion Fruitée Memories (rose-guarana) en vrac,"27,20 € ht",No details
Tisane Detox Power max (citron) BIO en vrac,"36,85 € ht",No details
Tisanes ayurvédiques Douce nuit BIO en vrac,"28,25 € ht",No details
Tisane happy day BIO en vrac,"31,60 € ht",No details
Tisane LAPACHO,"15,85 € ht",No details
"Tisane Détox magie de la nuit (coco, citron vert) BIO en vrac","40,55 € ht",No details
"Infusion fruitée pour les bouts d'chou (Fraise, vanille, framboise) BIO en vrac","31,60 € ht",No details
Tisane l'essentielle (Amincissante) BIO en vrac,"30,55 € ht",No details
Infusion fruitée élixir d'amour (fraise - framboise) en vrac,"30,55 € ht",No details
"Infusion fruitée au coin du feu (mandarine, cannelle) en vrac","32,65 € ht",No details
Tisane nuit douce (brownie) BIO en vrac,"30,05 € ht",No details
"Infusion fruitée de Noël (cannelle, orange) BIO en vrac","29,30 € ht",No details
"Tisane du Garlaban (romarin, thym, citron) BIO en vrac","31,60 € ht",No details
"Infusion fruitée pouvoir des fleurs (orange sanguine, grenade) en vrac","40,55 € ht",No details
"Infusion fruitée Charlotte aux fraises (fraise, crème) en vrac","29,30 € ht",No details
"Tisane soleil du sud (tilleul, verveine, menthe) BIO en vrac","48,40 € ht",No details
"Infusion fruitée Mon Doux mélange (pêche, papaye) en vrac","28,45 € ht",No details
Tisane alliance magique (digestion) BIO en vrac,"35,80 € ht",No details
Tisane baby boom BIO en vrac,"31,60 € ht",No details
"Infusion fruitée sixième sens  (sureau, vanille) BIO en vrac","29,30 € ht",No details
Tisane lotus BIO en vrac,"28,45 € ht",No details
"Tisane belle de nuit (pêche, citron) en vrac","38,45 € ht",No details
Tisanes ayurvédiques keep cool BIO en vrac,"29,30 € ht",No details
"Infusion fruitée santé millénaire (Framboise, citron vert) BIO en vrac","33,70 € ht",No details
"Infusion fruitée plaisir intense (pomme, pistache) en vrac","24,25 € ht",No details
Tisanes ayurvédiques karma BIO en vrac,"30,55 € ht",No details
"Tisane Mon Bonbon (Miel, citron) en vrac","24,25 € ht",No details
Tisane pour les maux BIO en vrac,"26,35 € ht",No details
"Infusion fruitée au bord de l'eau (orange, p.mousse) BIO en vrac","29,30 € ht",No details
