Product Name,Price,Description
Maté vert BIO en vrac origine Brésil,"35,40 € ht17,90 € ht","> VOIR NOTRE PROMOTION MATE VERT EN SAC DE 20 KG < Saveur Non aromatisé Vitamines et antioxydant Boisson stimulante et riche en caféine, le maté régule la fonction intestinale,..."
Tisane Ma digestion BIO,"33,75 € ht","Tisane Non aromatisé Le fruit de Fenouil Doux est reconnu pour faciliter la digestion.  Ingrédients : Angélique fruit bio*, anis vert fruit bio*, fenouil fruit bio*, mélissepartie aérienne bio*, menthe..."
Tisane Ma Detox BIO,"31,80 € ht","Tisane Non aromatisé La feuille de Romarin est traditionnellement utilisée pour aider les fonctions d'élimination de l'organisme. Ingrédients : Romarin BIO feuille coupée*, Thé vert BIO feuille gunpowder*, Fenouil doux BIO..."
Tisane Ma vitalité BIO,"35,55 € ht","Tisane Non aromatisé La fleur d'Hibiscus est traditionnellement utilisée pour vous sentir plus énergique. Ingrédients : Hibiscus BIO fleur coupée*, Menthe poivrée BIO feuille coupée*, Citronnelle (Lemon grass) BIO partie aérienne coupée*, Cannelle..."
"Tisane Détox la délicieuse (citron, vanille) BIO en vrac","23,20 € ht","Arôme naturel : Citron - Vanille Ingrédients : Datte (datte, farine de riz)* (45%), citronnelle*, thé vert China Sencha*, ortie* (11%), maté vert*, fève de cacao concassée*, écorces de citron*, arôme..."
Queues de Cerise en vrac,"11,30 € ht",Ingrédients : Queues de cerise  Désignation latine : Prunus Avium Dosage : 1 cuil. à soupe (5g) / 25cl d'eauTemps d'infusion : 10 - 12 MinTempérature d'infusion : 100 ° C Conseil d'utilisation...
Tisane Mon transit BIO,"40,50 € ht","Tisane Non aromatisé Le fruit de Fenouil Doux est reconnu pour faciliter la digestion. Ingrédients : Guimauve BIO sommité France coupée*; Mauve BIO feuille coupée*, Frêne BIO feuille qualité extra coupée*, Badiane BIO..."
"Thé amincissant (pamplemousse, gingembre) BIO en vrac","33,70 € ht","Arôme naturel :  Pamplemousse - Gingembre Brûleur de graisse L' association du thé et du maté ne laisse plus aucune chance aux graisses à brûler ! Allié des régimes incontournables,..."
Tisane ayurvédique Sérénité BIO en vrac,"28,25 € ht","Arôme naturel : Non aromatisé Calme et sérénité Faites le vide, laissez-vous aller un instant ! Alignez votre corps et votre esprit. Idéale avant ou après une séance de méditation..."
Tisane cure de jouvence BIO en vrac,"26,90 € ht","Arôme naturel : Non aromatisé Beauté de la peau Purifier votre corps, éclaircissez votre teint et retrouvez de l'énergie grâce à ce mélange d'ortie et de fenouil et d'anis, passez en mode..."
"Rooibos amincissant (pêche, citron) en vrac","33,70 € ht",Arôme naturel :  Pêche - Citron. Minceur et Anti-ballonnements Ce rooibos est votre parfait allié pour garder la ligne. La combinaison maté (coupe faim et diurétique) + sencha (pour sa...
Thé vert to you (Citron) BIO en vrac,"26,90 € ht",Arôme naturel : Citron Drainant et antioxydant La puissance du citron et la finesse du thé vert vous offre une boisson désaltérante et riche en vitamine. En mélangeant thé vert...
Tisane Detox Power max (citron) BIO en vrac,"36,85 € ht",Arôme naturel : Citron Power max Vous souhaitez brûler les graisses ? Éliminez les toxines ? Ce thé détox aux effets amincissants et drainants est votre partenaire minceur. Conseil dégustation...
"Tisane Détox magie de la nuit (coco, citron vert) BIO en vrac","40,55 € ht","Saveur : Noix de coco - Citron vert Apaisante et drainante Cette tisane travaille pour vous ! Sa composition, Ortie, mélisse, camomille, thé vert sencha, à la fois apaisante et..."
Tisane happy day BIO en vrac,"31,60 € ht","Arôme naturel : Non aromatisé Mélange énergisant Force et équilibre pour cette tisane d'exception. Parfaite pour commencer sa journée tout en confiance ! Ingrédients : Pomme*, feuilles de mûre*, gingembre*,..."
Tisane l'essentielle (Amincissante) BIO en vrac,"30,55 € ht","Arôme naturel : Non aromatisé Ingrédients : Maté vert* (43%), feuilles de mûre*, ortie* (11%), cynorrhodon*, fenouil*, anis*, feuilles de bouleau* (6%), racine de réglisse*.* Issu de l'agriculture biologique Le..."
Tisane Ma Minceur BIO,"33,50 € ht","Tisane Non aromatisé La feuille de Maté contribue à la gestion du poids dans le cadre d'un régime hypocalorique. Ingrédients : Maté vert BIO feuille coupée*, Hibiscus BIO fleur coupée*,..."
"Infusion fruitée au coin du feu (mandarine, cannelle) en vrac","32,65 € ht","Saveur : Cannelle Boost les défenses immunitaires Quand le corps à froid, fatigue, le système immunitaire se montre plus fragile. Le cynorrhodon a un effet stimulant, il est tonique et renforce les..."
"Thé vert/thé noir conte de fée (Rose, orange, Mangue) en vrac","32,15 € ht","Saveur Rose - Orange - Mangue Diurétique Ce mélange de thé vert et noir favorise le bien-être de votre corps. Le trio, pétales de rose, souci, fleurs de bleuet, aux..."
"Infusion fruitée pouvoir des fleurs (orange sanguine, grenade) en vrac","40,55 € ht",Arômes naturels : Orange sanguine - Grenade Energie max Tout est réuni pour maintenir une santé au max. Ce bouquet fleuri joliment mélangé vous offrira un véritable moment de détente...
"Rooibos peps (Gingembre, Citron) BIO en vrac","30,05 € ht","Arôme naturel : Gingembre - Citron Protège et purifie Gingembre et citron ! L' association de leurs vertus antibactériennes, antivirales, diurétiques, antiseptiques, et fluidifiantes font d'eux les rois du Détox..."
Thé vert premium (menthe poivrée) BIO en vrac,"33,70 € ht","Saveur Menthe poivrée Stimulant minceur Thé premium aux saveurs orientales. Chaque gorgé vous transporte ailleurs, un pur voyage enchanté ! Conseil dégustation : En cure Détox 28 jours. Chaud ou..."
