Product Name,Price,Description
"La tisane du gouter (Chocolat, noisette)","22,60 € ht","Saveur : Chocolat noisette Ingrédients : Fève de cacao concassée, Rooibos Super Grade, raisin (raisin, huile végétale), datte (datte, farine de riz), Honeybush, racine de chicorée, Chocolat (sucre, pâte de..."
"Infusion fruitée Upmango  (Mangue, Agrumes) en vrac","27,90 € ht","Économiseur : Mangue - Agrumes Ingrédients : Mangue (mangue, sucre) (52%), raisin (raisin, huile végétale), papaye (papaye, sucre), ananas (ananas, sucre), arôme naturel, tranches d'orange, morceaux de citron. Dosage : 15..."
Infusion fruitée balade en forêt BIO en vrac,"26,35 € ht","Infusion fruitée Non aromatisé Ingrédients : Pomme*, baie de sureau*, cynorrhodon*, myrtille sauvage*, mauve*, groseille*, feuilles de mûre*, cassis*, mûre*. *Issu de l‘agriculture biologique Dosage : 15 - 20 g/LTemps..."
Tisane de la méditation BIO en vrac,"23,75 € ht","Arôme naturel : Non aromatisé Ingrédients : Pomme*, citronnelle*, cynorrhodon*, camomille*, Tulsi*, fleurs de souci*, poivre noir*, menthe poivrée*, lavande*, Stévia*, fleurs d'immortelle*, cardamome*, valériane*. *Issu de l'agriculture biologique Dosage..."
"Tisane Détox la délicieuse (citron, vanille) BIO en vrac","23,20 € ht","Arôme naturel : Citron - Vanille Ingrédients : Datte (datte, farine de riz)* (45%), citronnelle*, thé vert China Sencha*, ortie* (11%), maté vert*, fève de cacao concassée*, écorces de citron*, arôme..."
"Infusion fruitée Fruity passion (orange, fruit de la Passion) BIO en vrac","24,25 € ht","Arômes naturels : Orange-fruit de la passion Ingrédients : Pomme*, citronnelle*, écorces d'orange*, cynorrhodon*, hibiscus*, arôme naturel (fruit de la passion, orange), morceaux de mangue*, fruit de la passion*. *Issu de..."
Tisane ayurvédique Sérénité BIO en vrac,"28,25 € ht","Arôme naturel : Non aromatisé Calme et sérénité Faites le vide, laissez-vous aller un instant ! Alignez votre corps et votre esprit. Idéale avant ou après une séance de méditation..."
Tisane Mix du soir BIO en vrac,"22,70 € ht","Arôme naturel : Non aromatisé Ingrédients : Pomme*, citronnelle*, menthe*, hibiscus*, écorces d'orange*, Stevia*. *Issu de l‘agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion : 7 - 10 MinTempérature..."
Tisane cure de jouvence BIO en vrac,"26,90 € ht","Arôme naturel : Non aromatisé Beauté de la peau Purifier votre corps, éclaircissez votre teint et retrouvez de l'énergie grâce à ce mélange d'ortie et de fenouil et d'anis, passez en mode..."
Tisane fraîcheur du sud BIO en vrac,"26,90 € ht","Arôme naturel : Citron-basilic Ingrédients : Pomme*, citronnelle*, écorces de citron* (11%), basilic* (8%), coing*, fleurs de souci*, arôme naturel (citron), Huile essentielle de citron vert*. *Issu de l‘agriculture biologique..."
"Tisane zelda (Agrumes, baies sauvages) BIO en vrac","28,25 € ht","Saveur : Agrumes - baies sauvages Ingrédients : Pomme*, rooibos*, verveine*, arôme naturel, écorces d'orange*, souci*, feuilles de verveine*, feuilles de mûre*, framboise*, passiflore*, arôme naturel de cassis, cassis*. *Issu de..."
Infusion Fruitée Memories (rose-guarana) en vrac,"27,20 € ht","Saveur : Rose-guarana Ingrédients : Datte (datte, farine de riz)*, arôme naturel (pamplemousse, bergamote), verveine entière, écorces d'orange*, pétales de rose* (3%), passiflore*, noisette*, guarana* (1%). *Issu de l‘agriculture biologique..."
Tisane Detox Power max (citron) BIO en vrac,"36,85 € ht",Arôme naturel : Citron Power max Vous souhaitez brûler les graisses ? Éliminez les toxines ? Ce thé détox aux effets amincissants et drainants est votre partenaire minceur. Conseil dégustation...
Tisanes ayurvédiques Douce nuit BIO en vrac,"28,25 € ht","Arôme naturel : Non aromatisé Ingrédients : Citronnelle*, bâtons de cannelle*, mélisse*, feuilles de mûre*, racine de réglisse*, cannelle Ceylan*, écorces de citron*, camomille*, cardamome*, fleurs de houblon*.* Issu de..."
Tisane happy day BIO en vrac,"31,60 € ht","Arôme naturel : Non aromatisé Mélange énergisant Force et équilibre pour cette tisane d'exception. Parfaite pour commencer sa journée tout en confiance ! Ingrédients : Pomme*, feuilles de mûre*, gingembre*,..."
Tisane LAPACHO,"15,85 € ht","Arôme naturel :
Non aromatisé
Ingrédients :
Lapacho
Dosage : 12 - 15 g/LTemps d'infusion : 10 - 15 MinTempérature d'infusion : 100° C
Référence : 2232
Conditionnement : Sachet de 1kg"
"Tisane Détox magie de la nuit (coco, citron vert) BIO en vrac","40,55 € ht","Saveur : Noix de coco - Citron vert Apaisante et drainante Cette tisane travaille pour vous ! Sa composition, Ortie, mélisse, camomille, thé vert sencha, à la fois apaisante et..."
"Infusion fruitée pour les bouts d'chou (Fraise, vanille, framboise) BIO en vrac","31,60 € ht","Saveur : Fraise - framboise - vanille Ingrédients : Pomme*, rooibos naturel*, banane (banane, huile de noix de coco, sucre de canne, miel)*, arôme naturel (fraise, framboise), fenouil*, écorces de..."
Tisane l'essentielle (Amincissante) BIO en vrac,"30,55 € ht","Arôme naturel : Non aromatisé Ingrédients : Maté vert* (43%), feuilles de mûre*, ortie* (11%), cynorrhodon*, fenouil*, anis*, feuilles de bouleau* (6%), racine de réglisse*.* Issu de l'agriculture biologique Le..."
Infusion fruitée élixir d'amour (fraise - framboise) en vrac,"30,55 € ht","Arômes naturels : Fraise-framboise Ingrédients : Pomme*, hibiscus*, cynorrhodon*, datte (datte, farine de riz)*, fraise*, arôme naturel de fraise, écorces d’orange*, arôme naturel de framboise, framboise*. *Issu de l‘agriculture biologique..."
"Infusion fruitée au coin du feu (mandarine, cannelle) en vrac","32,65 € ht","Saveur : Cannelle Boost les défenses immunitaires Quand le corps à froid, fatigue, le système immunitaire se montre plus fragile. Le cynorrhodon a un effet stimulant, il est tonique et renforce les..."
Tisane nuit douce (brownie) BIO en vrac,"30,05 € ht","Saveur : Brownie Ingrédients : Citronnelle*, mélisse*, fève de cacao concassée*, ortie*, basilic*, extrait de cacao*, valériane*, lavande*, badiane*, passiflore*, millepertuis*, fleurs de houblon*.* Issu de l'agriculture biologique Dosage : 12..."
"Infusion fruitée de Noël (cannelle, orange) BIO en vrac","29,30 € ht","Arôme naturel : Cannelle-orange Ingrédients : Pomme*, hibiscus*, raisin (raisin, huile végétale)*, cynorrhodon*, écorces d'orange*, bâtons de cannelle*, arôme naturel (cannelle, orange), clou de girofle*, poivre noir*. *Issu de l‘agriculture..."
"Tisane du Garlaban (romarin, thym, citron) BIO en vrac","31,60 € ht","Saveur : Romarin-thym-citron Ingrédients : Citronnelle*, bâtons de cannelle*, verveine*, romarin*, thym*, feuilles d'olivier*, arôme naturel (citron, pamplemousse), lavande*, fleurs de tilleul*. *Issu de l'agriculture biologique Dosage : 15 -..."
"Infusion fruitée pouvoir des fleurs (orange sanguine, grenade) en vrac","40,55 € ht",Arômes naturels : Orange sanguine - Grenade Energie max Tout est réuni pour maintenir une santé au max. Ce bouquet fleuri joliment mélangé vous offrira un véritable moment de détente...
"Infusion fruitée Charlotte aux fraises (fraise, crème) en vrac","29,30 € ht","Arômes naturels : Fraise-crème Ingrédients : Pomme, hibiscus, cynorrhodon, écorces d'orange, baie de sureau, arôme naturel, fraise (3%). Mélange premium avec des ingrédients issus de l'agriculture durable et des arômes..."
"Tisane soleil du sud (tilleul, verveine, menthe) BIO en vrac","48,40 € ht","Arôme naturel : Non aromatisé Ingrédients : Fleurs de tilleul* (64%), verveine*, menthe* (16%), feuilles de verveine*, menthe poivrée* (5%). *Issu de l‘agriculture biologique Dosage : 12 - 15 g/LTemps..."
"Infusion fruitée Mon Doux mélange (pêche, papaye) en vrac","28,45 € ht","Arômes naturels : Pêche-papaye Ingrédients : Pomme, datte (datte, farine de riz), citronnelle, banane (banane, huile de noix de coco, sucre de canne, miel), raisin (raisin, huile végétale), gingembre, carotte,..."
Tisane alliance magique (digestion) BIO en vrac,"35,80 € ht","Arôme naturel : Non aromatisé Ingrédients : Mélisse* (30%), camomille*, anis*, fenouil* (11%), carvi* (10%), carotte*, racine de réglisse*, menthe poivrée*, verveine entière*, fleurs de souci*, fleurs de houblon*.* Issu..."
Tisane baby boom BIO en vrac,"31,60 € ht","Arôme naturel : Non aromatisé Ingrédients : Rooibos naturel*, rooibos vert*, mélisse*, pétales de rose*, fleurs de bleuet*, lavande*, aronia*. *Issu de l'agriculture biologique Dosage : 15 - 10 g/LTemps..."
"Infusion fruitée sixième sens  (sureau, vanille) BIO en vrac","29,30 € ht","Arômes naturels : Sureau-vanille Ingrédients : Hibiscus*, cynorrhodon*, baie de sureau* (3%), extrait de vanille*, arôme naturel (cassis), fleurs de bleuet*, vanille* (1%). *Issu de l'agriculture biologique Dosage : 15 -..."
Tisane lotus BIO en vrac,"28,45 € ht","Arôme naturel : Non aromatisé Ingrédients : Pomme*, citronnelle*, cynorrhodon*, camomille*, tulsi*, souci*, poivre noir*, menthe poivrée*, lavande*, fleurs d'immortelle*, cardamome*, valériane*. *Issu de l'agriculture biologique Dosage : 20 -..."
"Tisane belle de nuit (pêche, citron) en vrac","38,45 € ht","Saveur : Pêche - citron Ingrédients : Datte (datte, farine de riz), pomme, mélisse, feuilles de framboisier, camomille, carotte, fenouil, écorces de citron, verveine entière, arôme naturel, pomme, achillée, millepertuis,..."
Tisanes ayurvédiques keep cool BIO en vrac,"29,30 € ht","Arôme naturel : Non aromatisé Ingrédients : Pomme*, bâtons de cannelle*, hibiscus*, feuilles de mûre*, gingembre*, mélisse*, racine de réglisse*, fenouil*, écorces d'orange*, camomille*, clou de girofle*, poivre noir*, cardamome*,..."
