Product Name,Price,Description
Fleurs hibiscus BIO feuilles entières - Bissap  en vrac,"15,90 € ht",Ingrédients : Fleurs entiéres d'hibiscus* entières BIO Origine :  EGYPTE Désignation latine : Hibiscus sabdariffa Dosage  : 13 - 18 g/L Temps d'infusion  : 5-10 Min Température d'infusion  : 100°...
Fleurs hibiscus BIO feuilles coupées - Bissap  en vrac,"23,10 € ht13,90 € ht",> VOIR NOTRE PROMOTION HIBISCUS SAC DE 30 Kg < Herbes en vrac Non aromatisé Ingrédients : Fleurs d'hibiscus* BIO Origine : EGYPTE Désignation latine :Hibiscus sabdariffa Dosage : 13 - 18...
Fleurs hibiscus BIO Feuilles coupées- Sac de 30 kg - Bissap  en vrac,"690,00 € ht332,90 € ht","Prix au Kg : 11,09 € SAC DE 30 Kg Herbes en vrac Non aromatisé Ingrédients : Fleurs d'hibiscus* BIO Origine: ÉGYPTE Désignation latine :Hibiscus sabdariffa Certification : Bio :..."
Queues de Cerise en vrac,"11,30 € ht",Ingrédients : Queues de cerise  Désignation latine : Prunus Avium Dosage : 1 cuil. à soupe (5g) / 25cl d'eauTemps d'infusion : 10 - 12 MinTempérature d'infusion : 100 ° C Conseil d'utilisation...
Graine de moutarde jaune BIO en vrac,"10,85 € ht","Herbes en vrac Non aromatisé Ingrédients : Graine de moutarde jaune * BIOCoupe 0,5mm - 3mm ORIGINE : ALLEMAGNE Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon..."
Graine de moutarde noire BIO en vrac,"12,90 € ht","Herbes en vrac Non aromatisé Ingrédients : Graine de moutarde noire * BIOCoupe 0,5mm - 2mm ORIGINE : UKRAINE Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon..."
Graine de Fenugrec BIO vente en gros,"12,55 € ht",Ingrédients : Graine de Fenugrec * BIO en vracCoupe 2 mm - 5 mm Désignation latine : Trigonella foenum-graecum Prenez le temps de lire notre article : FENUGREC BIO :...
GRENADE zeste coupé BIO - Origine FRANCE,"30,05 € ht",Ingrédients : GRENADE zeste coupé*. *Issu de l‘agriculture biologique ORIGINE : FRANCE/ Maroc Désignation latine : Punica granatum L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon...
CARDAMOME fruit entier BIO,"108,10 € ht62,90 € ht",Ingrédients : Graine de Cardamome* Fruit entier. *Issu de l'agriculture biologique ORIGINE : GUATEMALA Désignation latine : cardamomum Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement...
VERGE D'OR sommité fleurie coupée bio,"23,05 € ht",Ingrédients : VERGE D'OR sommité fleurie coupée bio Origine : Pologne Désignation latine : Solidago virgaurea L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement...
