Product Name,Price,Description
Rooibos - Thé Rouge - BIO Sac 18 Kg,"330,60 € ht182,00 € ht","Prix au Kg : 10,11 €SAC DE 18 KgRooibos Nature Non aromatisé Ingrédients : Rooibos Origine Afrique du Sud Dosage : 15 - 20 g/LTemps d'infusion : 7 - 10 MinTempérature d'infusion :..."
Rooibos BIO en vrac,"33,60 € ht15,50 € ht",Rooibos Non aromatisé Ingrédients : Rooibos Dosage : 15 - 20 g/LTemps d'infusion : 7 - 10 MinTempérature d'infusion : 100 ° C Certification : Bio : Produit issu de...
"Rooibos Saveurs des îles (Citron, fruit de la passion) BIO en vrac","27,20 € ht","Saveur :  Citron - fruit de la passion Ingrédients : Rooibos naturel*, arôme naturel (mangue, citron), écorces de citron*, fleurs de souci*, extrait de vanille*, fleurs de bleuet*. *Issu de..."
Rooibos fresh (citron-orange) BIO en vrac,"27,95 € ht","Arômes naturels : Citron-orange Ingrédients : Rooibos naturel*, citronnelle*, écorces d'orange* (6%), arôme naturel (orange, citron, bergamote, pamplemousse), Rooibos vert*, fleurs de bleuet*. *Issu de l‘agriculture biologique Dosage : 12..."
Rooibos Givré (Citron) BIO en vrac,"29,30 € ht","Arôme naturel : Citron Ingrédients : Rooibos naturel*, citronnelle*, écorces d'orange*, écorces de citron*, arôme naturel (citron, orange, bergamote, pamplemousse), fleurs de souci*. *Issu de l‘agriculture biologique Dosage : 20..."
"Rooibos L'envoutant (dattes, mangue, vanille) BIO en vrac","32,65 € ht","Rooibos Saveur datte-mangue Ingrédients : Rooibos naturel*, datte (datte, farine de riz)*, raisin (raisin, huile végétale)*, gingembre*, morceaux de mangue*, papaye*, figue (figue, farine de riz)*, arôme naturel, extrait de..."
Rooibos Frica (Datte Vanille) BIO en vrac,"29,30 € ht","Arôme naturel :  Datte-vanille Ingrédients : Rooibos naturel*, datte (datte, farine de riz)* (10%), extrait de vanille*, vanille* (1%). *Issu de l‘agriculture biologique Dosage : 15 - 20 g/LTemps d'infusion :..."
Rooibos Orange BIO en vrac,"27,20 € ht","Rooibos Saveur orange Ingrédients : Rooibos naturel*, écorces d'orange* (16%), arôme naturel. *Issu de l'agriculture biologique Dosage : 15 - 20 g/LTemps d'infusion : 7 - 10 MinTempérature d'infusion :..."
"Rooibos Malimali (Mangue, menthe, citron) en vrac","36,85 € ht","Arômes naturels : Mangue-menthe-citron Ingrédients : Rooibos naturel*, Honeybush*, morceaux de mangue*, papaye*, menthe*, écorces de citron*, citronnelle*, arôme naturel de mangue, hibiscus*, baie de goji*, betterave rouge*, mangue*, arôme..."
"Rooibos de Noël (cannelle, orange) BIO en vrac","28,25 € ht","Arôme naturel : Cannelle-orange Ingrédients : Rooibos naturel*, pomme*, arôme naturel (orange, cannelle), écorces d'orange*, bâtons de cannelle*, clou de girofle*, pétales de rose*, cardamome*. *Issu de l‘agriculture biologique Dosage..."
