Product Name,Price,Description
Thé vert China Sencha Lu Yu BIO en vrac,"29,00 € ht18,90 € ht",La nature verte Thé vert Sencha léger avec de grandes feuilles pressées à plat Tasse jaune dorée. Doux et épicé au goût. Numéro de l'agriculture biologique. Ingrédients : 100 %...
Thé vert inde Bio Équitable en vrac,"34,15 € ht18,90 € ht",Arôme naturel : Non aromatisé Ingrédients : Thé Vert nature Bio Équitable Origine Inde région du Kerala*. *Issu de l'agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion : 3 -...
Thé vert China Sencha BIO en vrac,"20,60 € ht",Thé vert nature Thé vert léger avec de grandes feuilles et une tasse jaune dorée. Issu de l‘agriculture biologique. Ingrédients : 100 % thé vert nature Dosage : 12 -...
Thé vert Japan Kukicha BIO en vrac,"57,07 € ht","Thé vert nature Veines fines sur les feuilles, finement âpre, épicées et aromatiques. Numéro de l'agriculture biologique. Ingrédients : 100 % thé vert nature Dosage : 15 - 20 g/L..."
Thé vert China Gunpowder Grade 1 BIO en vrac,"23,20 € ht",Thé vert nature Gunpowder de haute qualité avec des feuilles enroulées et un goût légèrement amer. Issu de l‘agriculture biologique. Ingrédients : 100 % thé vert nature Dosage : 12...
Jasmin Dragon Phoenix Pearl BIO (500g),"60,80 € ht","Thé vert Perles de Dragon au Jasmin BIO L'un des plus beaux trésors du monde du thé des montagnes du sud-est de la Chine. Depuis plus de 100 ans, seules..."
Thé vert Earl Grey (bergamote) BIO en vrac,"30,55 € ht","Arôme naturel : Bergamote Ingrédients : Thé vert China Sencha*, arôme naturel (bergamote). *Issu de l‘agriculture biologique Dosage : 10 - 15 g/LTemps d'infusion : 2 - 3 MinTempérature d'infusion : 70 -..."
Thé Bleu Fleur de Pois de Papillon BIO EN VRAC,"78,68 € ht","Ingrédients : 100% Fleur de Pois de Papillon issus de l'agriculture biologique La fleur de pois de papillon (Clitoria ternatea) est une plante originaire d'Asie du Sud-Est, bien que l'on..."
"Thé amincissant (pamplemousse, gingembre) BIO en vrac","33,70 € ht","Arôme naturel :  Pamplemousse - Gingembre Brûleur de graisse L' association du thé et du maté ne laisse plus aucune chance aux graisses à brûler ! Allié des régimes incontournables,..."
Thé vert Diabolo (Menthe) verte BIO en vrac,"28,25 € ht","Arôme naturel : Non aromatisé Ingrédients : Thé vert de Chine Sencha*, menthe* (21%). *Issu de l'agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion : 2 - 3 MinTempérature..."
Thé vert to you (Citron) BIO en vrac,"26,90 € ht",Arôme naturel : Citron Drainant et antioxydant La puissance du citron et la finesse du thé vert vous offre une boisson désaltérante et riche en vitamine. En mélangeant thé vert...
"Thé vert Couleurs d'agrumes (gingembre, orange) BIO en vrac","27,95 € ht","Arôme naturel : Gingembre-orange Ingrédients : Thé vert de Chine Sencha*, gingembre* (11%), écorces d'orange* (6%), arôme naturel, souci*. *Issu de l'agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion..."
"Thé vert so exciting (Gingembre, citron) BIO en vrac","28,25 € ht","Saveur : Gingembre-citron Ingrédients : Thé vert China Sencha*, gingembre* (10%), citronnelle*, arôme naturel (citron), écorces de citron* (3%). *Issu de l‘agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion..."
Thé vert Darjeeling Ftgfop1 Pussimbing BIO en vrac,"36,85 € ht","Thé vert nature Darjeeling vert de haute qualité, avec une tasse légère. Issu de l‘agriculture biologique. Ingrédients : 100 % thé vert nature Dosage : 12 - 15 g/LTemps d'infusion..."
"Thé vert aurore boréale (mangue, bergamote) BIO en vrac","31,10 € ht","Arôme naturel : Mangue-bergamote Ingrédients : Thé vert China Sencha*, morceaux de mangue*, arôme naturel (mangue, orange, bergamote), pétales de rose*, fleurs de bleuet*, fleurs de souci*. *Issu de l‘agriculture..."
"Thé vert/thé noir conte de fée (Rose, orange, Mangue) en vrac","32,15 € ht","Saveur Rose - Orange - Mangue Diurétique Ce mélange de thé vert et noir favorise le bien-être de votre corps. Le trio, pétales de rose, souci, fleurs de bleuet, aux..."
Thé vert de Marrakech  (menthe poivrée) BIO en vrac,"31,60 € ht","Arôme naturel : Menthe poivrée Ingrédients : Thé vert China Gunpowder*, menthe* (8%), arôme naturel (menthe poivrée). *Issu de l‘agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion : 2 - 3..."
"Thé vert compotée de fruits (Fraise, pêche) bio en vrac","32,15 € ht","Saveur : Fraise - pêche Ingrédients : Thé vert de Chine Sencha*, banane (banane, huile de noix de coco, sucre de canne, miel)*, arôme naturel (fraise, mangue, orange), souci*, fraise*,..."
Thé vert China Jasmin High Grade BIO en vrac,"37,70 € ht",Thé vert nature Thé vert avec une liqueur fine et aromatique de jasmin et de fleurs de jasmin. Tasse jaune dorée. Issu de l‘agriculture biologique. Ingrédients : 100 % thé...
Thé vert premium (menthe poivrée) BIO en vrac,"33,70 € ht","Saveur Menthe poivrée Stimulant minceur Thé premium aux saveurs orientales. Chaque gorgé vous transporte ailleurs, un pur voyage enchanté ! Conseil dégustation : En cure Détox 28 jours. Chaud ou..."
"Thé vert fraicheur extrême (Menthe, citron) BIO en vrac","30,55 € ht","Arôme naturel : Menthe-citron Ingrédients : Thé vert China Sencha*, citronnelle*, écorces de citron*, Huile essentielle de citron vert*, menthe*, arôme naturel (citron, menthe poivrée), fleurs de souci*, extrait de..."
Thé vert jolies fleurs (rose fruitée) en vrac,"27,20 € ht","Arôme naturel : Rose fruitée Ingrédients : Thé vert China Sencha* (77%), datte (datte, farine de riz)* (22%), arôme naturel de framboise, arôme naturel de cassis, fleurs d'immortelle*, pétales de..."
"Thé vert douceur glacée (citron, mangue) BIO en vrac","29,30 € ht","Arôme naturel : Citron-mangue Ingrédients : Thé vert China Sencha*, menthe*, citronnelle*, arôme naturel (mangue, citron), écorces de citron* (4%), fleurs de souci*, mangue* (1%). *Issu de l‘agriculture biologique Dosage..."
"Thé vert ananas (ananas,crème) en vrac","25,85 € ht","Arôme naturel : Ananas-crème Ingrédients : Thé vert China Sencha, maté vert, feuilles d'olivier, arôme naturel, écorces de citron, ananas (3%). Mélange premium avec des ingrédients issus de l'agriculture durable..."
Thé vert Maldives (Exotique-pêche) BIO en vrac,"33,70 € ht","Arôme naturel : Exotique-pêche Ingrédients : Thé vert China Sencha*, China Oolong*, arôme naturel (pêche, orange, mangue), morceaux de mangue*, pétales de rose*, fleurs de souci*, papaye*, passiflore*, fleurs de bleuet*...."
"Thé vert sorbet détox (Menthe, réglisse) BIO en vrac","25,30 € ht","Arôme naturel : Menthe-réglisse Ingrédients : Thé vert de Chine Sencha*, racine de réglisse* (13%), menthe* (11%). *Issu de l'agriculture biologique Le thé vert favorise l'élimination des toxines. Dosage :..."
"Thé vert pink crazy (Fraise, framboise) bio en vrac","34,75 € ht","Saveur : Fraise - framboise Ingrédients : Thé vert China Sencha*, arôme naturel de fraise, China White Monkey*, fraise*, framboise*, arôme naturel de framboise, pétales de rose*, China Jasmin Dragon..."
"Thé vert trésor des îles (Mangue, fruit de la passion) BIO en vrac","36,65 € ht","Arôme naturel : Mangue-fruit de la passion Ingrédients : Saveur mangue-fruit de la passion Ingrédients: Thé vert China Sencha*, papaye*, curcuma*, morceaux de mangue* (5%), gingembre (gingembre, sucre de canne..."
"Thé vert couleurs d‘automne (vanille, cannelle) BIO en vrac","30,35 € ht","Saveur : Vanille-cannelle Ingrédients : Thé vert China Sencha*, pomme*, bâtons de cannelle*, écorces d'orange*, extrait de vanille*, pétales de rose*, arôme naturel (cannelle), vanille*. *Issu de l‘agriculture biologique Dosage..."
"Thé vert de l'apéro (citron, framboise) bio en vrac","27,95 € ht","Arôme naturel : Citron-framboise Ingrédients : Thé vert China Sencha, citronnelle, arôme naturel, écorces de citron, framboise (3%), menthe, hibiscus. Mélange premium élaboré avec des ingrédients issus de l'agriculture durable..."
Thé vert cocktail d'été (Fraise-vanille-pamplemousse) BIO en vrac,"25,30 € ht","Arôme naturel : Fraise-vanille-pamplemousse Ingrédients : Thé vert China Sencha*, arôme naturel (fraise, pamplemousse), extrait de vanille*. *Issu de l'agriculture biologique. Dosage : 12 - 15 g/LTemps d'infusion : 2 - 3 MinTempérature..."
"Thé vert pikini (orange, vanille) BIO en vrac","33,70 € ht","Saveur : Orange-vanille Ingrédients : Thé vert China Sencha*, écorces d'orange*, arôme naturel (orange), fleurs de souci*, extrait de vanille*, pétales de rose*, fleurs de bleuet*, vanille*. *Issu de l‘agriculture..."
Thé vert d'Amsterdam (Framboise - Bergamote) en vrac,"32,15 € ht","Saveur : Framboise - Bergamote Ingrédients : Thé vert China Sencha*, citronnelle*, thé blanc Pai Mu Tan*, écorces de citron*, arôme naturel de framboise, arôme naturel de citron, framboise*, pétales..."
Thé vert des amoureux (Orange sanguine) BIO en vrac,"27,95 € ht","Arôme naturel : Orange sanguine Ingrédients : Thé vert China Sencha*, citronnelle*, écorces d'orange* (11%), arôme naturel (orange sanguine). *Issu de l‘agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion..."
Thé vert fantasia (Pêche) bio en vrac,"30,55 € ht","Saveur : Pêche Ingrédients : Thé vert China Sencha*, arôme naturel de pêche, fleurs de souci*, pêche* (2%).* Issu de l‘agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion :..."
Thé vert JAPAN GENMAICHA YUKIHIME BIO en vrac,"51,55 € ht",Thé vert nature Ce Sencha japonais de grande qualité avec des grains de riz grillés et soufflés vous offrira une expérience inoubliable. Doux et à la fois corsé en bouche....
Thé vert double jeu (citron) BIO en vrac,"27,20 € ht","Arôme naturel : Citron Ingrédients : Thé vert China Sencha* (83%), citronnelle*, écorces de citron* (6%), arôme naturel (citron). *Issu de l‘agriculture biologiqueDosage : 12 - 15 g/LTemps d'infusion :..."
Matcha Japonais de Cérémonie BIO en vrac,"83,95 € ht","Non aromatisé Ingrédients : Matcha Japonais de Cérémonie ""Hisui"". Issu de l’agriculture biologique Dosage : 1 à 1,5/100mlTemps d'infusion : 20 secTempérature d'infusion : 70 ° C Certification : Bio :..."
Thé vert Moga Cha BIO en vrac sachet 100 g,"8,50 € ht","Thé vert nature Le moga est du thé vert moulu. La différence avec le Matcha est que le Tencha n'est pas grillé. Le thé est cru, légèrement herbacé, sucré et..."
Thé vert chacho (Cannelle Menthe) BIO en vrac,"25,30 € ht","Arôme naturel : Non aromatisé Ingrédients : Thé vert China Chun Mee*, thé vert de Chine Sencha*, bâtons de cannelle* (16%), menthe* (11%). *Issu de l‘agriculture biologique Dosage : 12..."
Thé vert Forêt enchantée (baies sauvages) bio en vrac,"32,65 € ht","Saveur : Baies sauvages Ingrédients : Thé vert China Sencha*, arôme naturel de fraise, fraise*, feuilles de mûre*, baie de sureau*, arôme naturel de cassis, mûre*, groseille*.* Issu de l‘agriculture..."
"Thé vert Mix tea (cannelle, mandarine) BIO en vrac","34,75 € ht","Arôme naturel : Cannelle mandarine Ingrédients : Saveur cannelle - mandarine Ingrédients: Thé vert China Chun Mee*, thé vert China Sencha*, bâtons de cannelle*, thé blanc Pai Mu Tan*, écorces..."
Thé vert Chai Matcha BIO en vrac,"31,10 € ht","Arôme naturel : Non aromatisé Ingrédients : Thé vert de Chine Sencha*, gingembre*, bâtons de cannelle*, anis*, fenouil*, curcuma*, thé vert matcha* (5%), cardamome*, clou de girofle*, cardamome moulue*. *Issu..."
"Thé vert coup de boost (citron, abricot) bio en vrac","41,60 € ht","Saveur : Citron - Abricot Ingrédients : Thé vert China Gunpowder* (75%), citronnelle* (10%), maté vert* (6%), thé blanc Mao Feng*, thé noir Golden Yunnan OP*, arôme naturel de citron,..."
"Thé vert Mojito (Mangue, menthe) Bio en vrac","33,70 € ht","Saveur : Mangue-menthe Ingrédients : Thé vert China Sencha*, citronnelle*, écorces de citron*, morceaux de mangue* (6%), menthe poivrée entière*, CARAMEL (SUCRE, ARÔME NATUREL)*, arôme naturel de mangue, verveine entière*,..."
Thé vert HOJICHA BIO en vrac,"47,35 € ht",Thé vert nature Kukicha torréfié qui s'accompagne joliment avec vos desserts. Ingrédients : 100 % thé vert nature Dosage : 12 - 15 g/LTemps d'infusion : 2 - 3 MinTempérature...
Thé vert Détox Drainant (citron) BIO en vrac,"34,75 € ht","Arôme naturel : Citron Ingrédients : Thé vert China Sencha*, maté vert*, citronnelle* (16%), thé blanc Pai Mu Tan*, ortie*, écorces de citron* (9%), feuilles de moringa*, coco*, arôme naturel..."
Thé vert clémi (Pamplemousse-coco) bio en vrac,"31,60 € ht","Saveur : Pamplemousse-coco Ingrédients : Thé vert China Sencha*, citronnelle*, écorces de citron*, coco* (8%), écorces d'orange*, arôme naturel de noix de coco, spirulina*, fleurs de souci*, arôme naturel de..."
Thé vert l'airelle rouge (Fraise-canneberge) BIO en vrac,"32,65 € ht","Arôme naturel : Fraise-canneberge Ingrédients : Thé vert China Sencha*, arôme naturel (fraise, canneberge), fraise* (2%), canneberge* (2%). *Issu de l‘agriculture biologiqueDosage : 12 - 15 g/LTemps d'infusion : 2..."
