Product Name,Price,Description
Thé blanc Vietnam Mao Feng BIO en vrac,"38,45 € ht","Thé blanc nature Sa tasse claire jaune-verte, son goût bouqueté et son arôme fin et doux en font un thé délicieux. *Issu de l’agriculture biologique Dosage : 12 - 15..."
"Thé blanc velouté (Vanille, rose) bio en vrac","50,50 € ht","Saveur : Vanille-rose Ingrédients : Thé blanc Pai Mu Tan, thé vert China Chun Mee, thé blanc Mao Feng, raisin (raisin, huile végétale), arôme naturel, pétales de rose (2%), vanille..."
"Thé blanc (Groseille, framboise, rose) bio en vrac","46,10 € ht","Saveur : Groseille - framboise Ingrédients : Thé vert China Chun Mee*, thé blanc Pai Mu Tan*, thé vert China Sencha*, arôme naturel de framboise, arôme naturel de cassis, pétales..."
Thé blanc Exotique BIO en vrac,"45,05 € ht","Arôme naturel : Exotique Ingrédients : Thé vert China Sencha*, thé blanc Pai Mu Tan*, écorces d'orange*, morceaux de mangue*, papaye*, arôme naturel d'orange, arôme naturel de fruit de la..."
Thé blanc full moon BIO en vrac,"51,55 € ht","Arôme naturel : Pamplemousse-citron Ingrédients : Thé blanc Pai Mu Tan*, thé vert China Chun Mee*, citronnelle*, écorces de citron*, écorces d'orange*, racine de réglisse*, papaye*, gingembre (gingembre, sucre de..."
Thé blanc China pai mu tan BIO en vrac,"47,35 € ht",Thé blanc nature Thé blanc avec une feuille verte-marron et beaucoup de pointes. Fleuri et doux avec une liqueur parfumée. Issu de l‘agriculture biologique. Dosage : 12 - 15 g/LTemps...
Thé blanc de noël délicat moment en vrac,"43,15 € ht","Arôme naturel : Orange-cannelle Ingrédients : Thé vert China Chun Mee*, thé blanc Pai Mu Tan*, pomme*, bâtons de cannelle*, écorces d'orange*, gingembre (gingembre, sucre de canne brut)*, noix*, clou..."
Thé blanc (Cannelle) BIO en vrac,"42,10 € ht","Arôme naturel : Cannelle Ingrédients : Thé vert China Chun Mee*, thé blanc Pai Mu Tan*, pomme*, bâtons de cannelle* (13%), arôme naturel (cannelle). *Issu de l‘agriculture biologique. Dosage :..."
Thé blanc Yin Zhen BIO (250 g),"61,55 € ht",Thé blanc nature Ce thé blanc pousse entre les cascades glacées et les lacs aux eaux cristallines de la région de Fuding et est récolté au printemps. Cette fraîcheur céleste...
Thé blanc cœur d'Asie en vrac,"52,60 € ht","Arôme naturel : Grenade-cannelle Ingrédients : Thé vert China Chun Mee, thé blanc Pai Mu Tan, thé blanc Mao Feng, pomme, bâtons de cannelle, écorces d'orange, arôme naturel, China White..."
Thé blanc (Ananas-fleurs de sureau) en vrac,"56,30 € ht","Arôme naturel : Ananas-fleurs de sureau Ingrédients : Thé blanc Pai Mu Tan, thé vert China Chun Mee, menthe, morceaux de mangue, arôme naturel, fleurs de sureau, ananas. Mélange premium..."
Thé blanc Premium (Fleurs de cerise-fleurs de sureau) en vrac,"63,10 € ht","Arôme naturel : Fleurs de cerisier-fleurs de sureau Ingrédients : Thé blanc Pai Mu Tan, thé vert China Jasmin, arôme naturel, China Jasmin Dragon Pearls, fleurs d'immortelle, mauve, arôme naturel..."
