Title,SKU,Price,EAN,Stock,base_model,is_variable,storage,ram,color,category
Apple iPhone 15 Dual eSIM 128GB Black (A3090) (195949035982) - EU Spec,1028-130389-21109,628.00,195949035982,19,Apple iPhone 15 Dual,True,128GB,N/A,Black,phone
Apple iPhone 15 Dual eSIM 128GB Green (A3090) (195949036705) - EU Spec,1028-130393-21110,628.00,195949036705,4,Apple iPhone 15 Dual,True,128GB,N/A,Green,phone
Apple iPhone 15 Dual eSIM 128GB Green (A3090) (195949036750) - EU Spec,1028-130393-20719,628.00,195949036750,19,Apple iPhone 15 Dual,True,128GB,N/A,Green,phone
Apple iPhone 15 Dual eSIM 128GB Yellow (A3090) (195949036347) - EU Spec,1028-130391-21112,628.00,195949036347,4,Apple iPhone 15 Dual,True,128GB,N/A,Yellow,phone
Apple iPhone 15 Pro Dual eSIM 128GB Blue Titanium (A3102) (195949019111) - EU Spec,1028-130397-20510,860.00,195949019111,4,Apple iPhone 15 Pro,False,128GB,N/A,Blue,phone
Motorola Edge 50 Neo Dual 5G 256GB 8GB RAM Pantone Grisaille (840023278426) - EU Spec,1015-131640,297.00,840023278426,49,Motorola Edge 50 Neo Dual,False,256GB,8GB,N/A,phone
Motorola Edge 50 Neo Dual 5G 256GB 8GB RAM Pantone Latte (840023278440) - EU Spec,1015-131641,297.00,840023278440,49,Motorola Edge 50 Neo Dual,False,256GB,8GB,N/A,phone
Motorola Edge 50 Pro Dual 5G 512GB 12GB RAM Luxe Lavender (0840023257537) - EU Spec,1015-131631,339.00,0840023257537,19,Motorola Edge 50 Pro Dual,False,512GB,12GB,N/A,phone
Motorola Moto G85 Dual 5G 256GB 8GB RAM Olive Green (0840023276064) - EU Spec,1015-131639,163.00,0840023276064,50,Motorola Moto G85 Dual,False,256GB,8GB,Green,phone
Samsung A057G-DSN Galaxy A05s Dual LTE 128GB 4GB RAM Silver (8806095268231) - EU Spec,1009-130788,97.00,8806095268231,19,Samsung A057G-DSN Galaxy A05s,True,128GB,4GB,Silver,phone
Samsung A057G-DSN Galaxy A05s Dual LTE 64GB 4GB RAM Black (8806095268378) - EU Spec,1009-131194,88.00,8806095268378,50,Samsung A057G-DSN Galaxy A05s,True,64GB,4GB,Black,phone
Samsung A057G-DSN Galaxy A05s Dual LTE 64GB 4GB RAM Silver (8806095268286) - EU Spec,1009-130787,87.00,8806095268286,50,Samsung A057G-DSN Galaxy A05s,True,64GB,4GB,Silver,phone
